ID,OCCUPATION_NAME,OCCUPATION_DESCRIPTION,OCCUPATION_GROUP_NAME,OCCUPATION_GROUP_DESCRIPTION,CAREER_AREA_NAME,CAREER_AREA_DESCRIPTION,REQUIREMENT_LEVEL,REQUIREMENT_LEVEL_DESCRIPTION,LICENSE_TYPICALLY_REQUIRED,CERTIFICATION_TYPICALLY_REQUIRED,REQUIRES_SPECIALIZED_TRAINING,SPECIALIZED_TRAINING_DESCRIPTION,MINIMUM_TRAINING_LENGTH_MONTHS
10101010,Farm / Ranch Manager,"A Farm or Ranch Manager manages operations at a farm or ranch. Directs crop production and management of livestock herds and supervises farm workers who grow and harvest crops or tend to farm animals. Purchases supplies such as seed, fertilizer or animal feed, operates and repairs farm equipment, and maintains facilities. Monitors prices and adapts production as needed due to market changes, weather conditions or other factors.",Agriculture Managers,"The Agriculture Managers Occupation Group includes managerial occupations specific to the practice of farming (the cultivation of the soil for the growing of crops and the rearing of animals to provide food, wool, and other products). It also includes managers of fish farms and fish hatcheries.","Agriculture, Horticulture, & the Outdoors","The Agriculture, Horticulture, & the Outdoors Career Area includes occupations specific to the practice of farming, including cultivation of the soil for the growing of crops and the rearing of animals to provide food, wool, and other products. It also includes all occupations specific to the maintenance and conservation of outdoor spaces such as parks and nature reserves.",3.0,Roles with 2 year specialized degree requirement or a mix of sub-BA and BA requirements,False,False,False,,0.0
10111010,Farm / Nursery / Greenhouse Worker,"A Farm, Nursery, or Greenhouse Worker propagates, cultivates and harvests plants, primarily flowers, trees, shrubs and sod, and other crops such as mushrooms that are grown in greenhouses, or grows and harvests farm crops such as grain, fruit or vegetables. Operates and maintains equipment used to grow and harvest plants and crops. Cares for animals including dairy cows or chickens, pigs or other animals raised for meat.",Agriculture Workers,"The Agriculture Workers Occupation Group includes occupations specific to the practice of farming (the cultivation of the soil for the growing of crops and the rearing of animals to provide food, wool, and other products).","Agriculture, Horticulture, & the Outdoors","The Agriculture, Horticulture, & the Outdoors Career Area includes occupations specific to the practice of farming, including cultivation of the soil for the growing of crops and the rearing of animals to provide food, wool, and other products. It also includes all occupations specific to the maintenance and conservation of outdoor spaces such as parks and nature reserves.",1.0,Roles with minimal training requirements,False,False,False,,0.0
10131210,Landscaping / Groundskeeping Worker,"A Landscaping or Groundskeeping Worker provides landscaping for residences, parks, public gardens, college campuses or building or office park grounds. Provides care for plants and trees including mowing, trimming and planting, and repairs driveways, walks, benches or other structures.",Landscaping and Gardening,"The Landscaping and Gardening Occupation Group includes all occupations specific to groundskeeping, including gardening and lawncare, but also arboreal roles and pest control.","Agriculture, Horticulture, & the Outdoors","The Agriculture, Horticulture, & the Outdoors Career Area includes occupations specific to the practice of farming, including cultivation of the soil for the growing of crops and the rearing of animals to provide food, wool, and other products. It also includes all occupations specific to the maintenance and conservation of outdoor spaces such as parks and nature reserves.",1.0,Roles with minimal training requirements,False,False,False,,0.0
10131410,Pest Control Technician,"A Pest Control Technician controls problems with unwanted animals and insects in residences, commercial buildings and the areas around them. Inspects buildings, identifies pests and determines pest control treatment. Provides applications of chemical pesticides and sets traps or bait. Makes minor building repairs as needed to keep pests out.",Landscaping and Gardening,"The Landscaping and Gardening Occupation Group includes all occupations specific to groundskeeping, including gardening and lawncare, but also arboreal roles and pest control.","Agriculture, Horticulture, & the Outdoors","The Agriculture, Horticulture, & the Outdoors Career Area includes occupations specific to the practice of farming, including cultivation of the soil for the growing of crops and the rearing of animals to provide food, wool, and other products. It also includes all occupations specific to the maintenance and conservation of outdoor spaces such as parks and nature reserves.",1.0,Roles with minimal training requirements,False,False,False,,0.0
10131510,Tree Climber / Trimmer,A Tree Climber or Trimmer trims and prunes trees. Clears away excess branches near utility lines or over roads or sidewalks. Prunes dead or diseased tree limbs to improve the appearance and health of the tree. Uses rigging equipment and may work from a truck powered lift; uses chain saws and other power equipment.,Landscaping and Gardening,"The Landscaping and Gardening Occupation Group includes all occupations specific to groundskeeping, including gardening and lawncare, but also arboreal roles and pest control.","Agriculture, Horticulture, & the Outdoors","The Agriculture, Horticulture, & the Outdoors Career Area includes occupations specific to the practice of farming, including cultivation of the soil for the growing of crops and the rearing of animals to provide food, wool, and other products. It also includes all occupations specific to the maintenance and conservation of outdoor spaces such as parks and nature reserves.",1.0,Roles with minimal training requirements,False,False,False,,0.0
10141210,Forester,"A Forester manages large tracts of tree covered land, or manages trees in an urban setting. Directs tree harvests and plantings, develops plans for regenerating or protecting forest land, educates teachers and students about forest conservation. May inventory and appraise timber for sale by forest owners.",Rangers and Foresters,"The Rangers and Foresters Occupation Group includes occupations specific to the protection and conservation of wildlife in forests, woodland, and national parks.","Agriculture, Horticulture, & the Outdoors","The Agriculture, Horticulture, & the Outdoors Career Area includes occupations specific to the practice of farming, including cultivation of the soil for the growing of crops and the rearing of animals to provide food, wool, and other products. It also includes all occupations specific to the maintenance and conservation of outdoor spaces such as parks and nature reserves.",4.0,Entry level BA roles,False,False,False,,0.0
11111010,Business / Management Analyst,"A Business or Management Analyst provides strategic management consulting to companies and businesses. Advises on ways to improve operations, increase efficiency, reduce costs and increase revenues; may recommend systems or organizational change. May specialize in an area of business practice or a specific industry; may also specialize in consulting with government agencies.",Business Analysis,"The Business Analysis Occupation Group includes occupations involved in identifying business needs and determining solutions to business problems. It includes management, operational, and business continuity analysts.",Business Management and Operations,"The Business Management and Operations Career Area includes occupations specific to the administration of an organization, such as a business, a non-profit organization, or a government body. It also includes roles responsible for managing resources of the business, along with planning and running the logistics required to run the organization.",5.0,Advanced BA roles,False,False,False,,0.0
11111011,Business / Management Analyst,"A Business or Management Analyst provides strategic management consulting to companies and businesses. Advises on ways to improve operations, increase efficiency, reduce costs and increase revenues; may recommend systems or organizational change. May specialize in an area of business practice or a specific industry; may also specialize in consulting with government agencies.",Business Analysis,"The Business Analysis Occupation Group includes occupations involved in identifying business needs and determining solutions to business problems. It includes management, operational, and business continuity analysts.",Business Management and Operations,"The Business Management and Operations Career Area includes occupations specific to the administration of an organization, such as a business, a non-profit organization, or a government body. It also includes roles responsible for managing resources of the business, along with planning and running the logistics required to run the organization.",5.0,Advanced BA roles,False,False,False,,0.0
11111012,Business / Management Analyst,"A Business or Management Analyst provides strategic management consulting to companies and businesses. Advises on ways to improve operations, increase efficiency, reduce costs and increase revenues; may recommend systems or organizational change. May specialize in an area of business practice or a specific industry; may also specialize in consulting with government agencies.",Business Analysis,"The Business Analysis Occupation Group includes occupations involved in identifying business needs and determining solutions to business problems. It includes management, operational, and business continuity analysts.",Business Management and Operations,"The Business Management and Operations Career Area includes occupations specific to the administration of an organization, such as a business, a non-profit organization, or a government body. It also includes roles responsible for managing resources of the business, along with planning and running the logistics required to run the organization.",5.0,Advanced BA roles,False,False,False,,0.0
11111015,Business / Management Analyst,"A Business or Management Analyst provides strategic management consulting to companies and businesses. Advises on ways to improve operations, increase efficiency, reduce costs and increase revenues; may recommend systems or organizational change. May specialize in an area of business practice or a specific industry; may also specialize in consulting with government agencies.",Business Analysis,"The Business Analysis Occupation Group includes occupations involved in identifying business needs and determining solutions to business problems. It includes management, operational, and business continuity analysts.",Business Management and Operations,"The Business Management and Operations Career Area includes occupations specific to the administration of an organization, such as a business, a non-profit organization, or a government body. It also includes roles responsible for managing resources of the business, along with planning and running the logistics required to run the organization.",5.0,Advanced BA roles,False,False,False,,0.0
