ID,occ_1,occ_2,occ_3,occ_4,occ_5
TFU2SNX1SE3X,27121210,32131011,32161416,19101010,23171541
KA65FZ2RIMC6,23171712,23171524,23171541,22101213,19111012
5RY27VMVWJMV,32121312,17151010,32161010,36111110,25111310
VL9V73PUWSXV,32131011,27121210,21131110,32161416,32131210
AJSPJ00VMPQY,14111117,23171524,27121210,32151013,19101010
MYX444NLZ15B,27111222,27121313,27121210,32131011,32161416
8NOZEMDMZ5RG,19111012,19111011,19111010,27121210,11151110
OYS78YP5SSM0,21131010,32151018,21131110,16141210,32101010
O5URTXUYUCEC,27121210,32131011,23111310,32161416,19101010
0THL2C53K9OM,32161416,19141311,27121210,27111320,19101010
SB0UKOEFUKPV,19141311,19141112,27121210,19101010,32131011
A0C0FOSH4LV7,23151010,27111320,19161111,12101212,27121210
BGRXH5LQXXEG,27121210,27121313,27111214,27111222,32161416
WEFKF4HN6MGW,15111013,32161416,19111010,19101010,27121210
WBQHSMCRCUN9,32151018,32161416,19101010,19111010,27121210
NNGH8RIEC4D1,15111011,32171011,32121010,23171524,15101010
4MHXSG5U4UV5,23171521,23151016,23151010,23171541,32161416
PAUA3AIPJIYL,23171541,16141210,23171524,19101010,23171712
T4RK9FFY71KN,32161416,24161010,11221117,19111011,15111013
MHF5OX05ZHI6,27121210,32161416,27111222,11221117,19101010
FW0C20X450UH,23161015,23161012,20291110,19101010,19111010
H6AAF28NWNL2,27121510,32161416,27121210,19101010,27101024
L3G0D2AOBLJ0,32171022,32151018,32131526,32171024,25111610
V395ZDHZ6M9B,32131526,27111210,19141311,32161416,19141314
FHOE3MXZJFY4,27101212,32161416,27121210,32131011,23111310
N3DKVR5NBHGP,32161416,23151010,36111110,23171521,26131114
YGSKQYP891XS,27121210,32131011,16141210,19101010,27101110
SMWPQ82K8RYQ,21131110,27121210,32161416,32131011,21121010
ZSD1FIMTB6T9,32161416,19101010,19111010,27121210,32131011
0JNSPSKTRCGS,32161416,26131114,23171521,32151013,27121313
NYCTOPST9LIF,27111320,19141311,19101010,32131011,15111013
LOA8O34LPQK5,23171541,19101010,19141311,32161416,32101010
G3DCMYXBD07Q,27101212,23161012,23171541,32121010,32131011
EA329HF1PW26,19111011,32161416,19101010,19111010,36161120
5WJ0VSGHJUCF,23171810,23171541,23111310,23101010,25111110
7VKC5BNZ72WU,11211010,23121010,23171541,32161416,26151214
E74AHJOYSJ8O,32161416,19101010,27121210,32131011,19111010
RSJJ8EK38CJT,27121210,32131526,32131011,32131520,27121313
36ZX1TV18KGY,15111013,19161111,27121313,19121416,32161416
4UNFFQI1HF2Y,19111011,19111012,19101010,19111010,19131211
57CNKWSTVS9Q,11221117,14111117,14111115,32131011,14111210
ADUSQB00G9E0,23151010,23171541,19111012,23171543,19111010
JO7RJTMG6T7C,27121210,32131011,11221117,19101010,32161416
SH3MOKBMJLUU,23171528,23171710,21131010,19131211,22101214
U0ENV5SN961J,19111012,19111010,32161416,19101010,19111011
2RRA3PLCGQLL,25111110,27111222,27121313,27121210,32131011
IG6UO3ZIN1A7,19101010,19141110,32121010,19101710,23121010
P4NVV78ZOHEO,19111010,19111012,19101010,32161416,36111110
KPL3CHO3XJVO,25111518,25111610,32171011,32131510,25111110
M7TH9IIUKCUM,27111222,27121210,32131011,27121313,19131211
SUL8SNW74YRT,19111011,19111010,19141311,19101010,27121210
9547KPUWFBQ2,23171541,19141311,19101010,27121210,36161120
SR7SH2C23U2G,19111012,19111010,19111011,12131213,32161416
95NA2FQZTIO4,27121210,32131011,27121313,16141210,27121510
9T84AZYTJXEP,32161416,23171310,27111320,19101010,11221117
UQDN05XT54FN,19111010,32161416,19111011,26131114,27121210
PJRHT7ZEWVIY,19111010,19101010,19111011,19111012,19141311
6C0OX87CZR7X,25111110,19111012,19101010,27121210,26131114
RABR6RTC0Z7Q,27121210,32131011,19101010,27111222,26151117
O11IF24HYG1H,20341110,23161012,25111110,22111215,20251510
RRPZLK3E4XYF,32161416,27121210,19101010,19111010,19121011
O4KVFFLNCC2A,19101010,19111010,32161416,19111012,20311610
HE7UR23GDPPQ,19111012,19111011,19111010,19101010,19141311
HFUEZ5LWDIJV,32131011,27121210,27121313,27111214,32101110
GPS0132AN417,32161416,19111010,19111012,19101010,23151010
MNI3GOM6736Z,32161416,27121210,32151013,11211010,32131011
EX7TV7HRBFGC,32131612,32131520,32131611,32161416,19111010
0YS1SBDXG97S,32161416,11221117,27121210,23171524,14111210
I47C9UGZ40ZV,32121312,32151013,27121321,23151010,27111223
BMWMNOHG3VTL,19131211,27121210,23171541,19141112,27111320
UONEW4MWOCKI,32161416,32131011,27121210,19101010,23171541
EFJRPD5L8F1B,32161416,23171521,23171541,27101212,22101214
AOIM458AX40D,32161416,19101010,27121210,32131011,19111010
CMOQ5PLWQNV5,19111011,19111012,19111010,27121210,32131526
GO6ZHDQAIBHY,11221117,32131011,27121210,32161416,16141110
7XOLXCY6FD62,27121210,32131011,32161416,27111222,19101010
3K8A7RV4NMWV,27111222,19111010,19101010,15111011,32131526
53YKYYDU3ASN,21131110,32161416,27121210,32131011,36161124
O9RE3DVSB58Z,27111320,19141311,19101010,19111010,23151016
O2DE83QUV5F3,32161416,16141210,32151018,32151014,36161117
8Z2N4XXZU368,27121313,27111214,27111222,27121210,32131011
RVILAP1J55CU,19141311,19111012,19101010,19111010,21111110
ASHVFHZLA6OV,27121210,32161416,32131526,32101010,32131011
47EN48NYSJ5Y,23171524,32161416,23171541,23111310,23171521
V5QIN7ZXFMX9,23171541,27121210,25111110,19101010,19111010
A5QUB00MF9AW,19111012,19101010,19141311,23171810,23171541
OKEP7Y6WKTAK,12131213,19111011,19111012,19111010,32171011
M75PSZ1CTW68,25111110,23171541,32131011,27121210,16141210
J0LEBN52KOCW,12101310,32161416,12101212,19111010,27111320
T1WW8PAWHLQ7,32171011,32131526,32101010,23151215,27121210
M31SK0540SEJ,22101214,22111215,23161012,19131211,32151018
PUXQPHR62GDS,23171524,16141210,19101010,12101212,19111010
JNVWRXGKIKR2,21131110,21131010,23161012,16141210,23121010
BLBZ5NTDYWM8,32161416,32161010,25111110,21131110,32121312
AG281VFUBO3V,21131010,32131526,23171524,32161416,23171541
F5GZPL1QWEEH,21111110,32161010,23171810,32161416,27121210
FTIXDWR024LP,16141210,23171524,32131011,27121210,19101010
D1WCRV68JQ12,23121010,19161111,23171541,19161012,32161416
SJ8BFI8OJGZA,27121210,32131011,19101010,19111010,32131311
KDUWTN5PEPL7,11151110,32131526,32161416,27121210,32101010
HXODLCTT058C,19111011,19111010,32131011,27121210,19101010
70TE8Z2GFQNB,19141112,23151010,32161416,19181312,19101010
CS5834BK6DHX,27121210,32161416,32161415,32131011,32151013
6KF1622VXYZX,25111110,32131011,16141210,19101010,32161419
1C2ZL46Q5GQQ,23161015,15111013,23161012,19101010,32161416
CPUGCGIZZM39,32171011,32161416,32131011,19131211,27121210
2PMB6XGK6YUL,21131110,27121210,32161416,21131010,19101010
1EBVFWB5HSTS,32161416,26131114,21121010,21121210,16141210
6DF08UPNZASY,21131010,32161416,27121210,32131011,23131115
VRCTLT4Q9BC2,16141210,32131011,32161416,27121210,16141110
QIGBU990MZ9H,12101212,23171810,23171541,25111518,25111110
M7PP0PNNLO0H,27121210,32131011,19111011,27121510,19161111
IURPV2WJ6O6U,23171541,32161416,11221117,25111610,32101110
TC7I85H6YYDC,19101010,19141311,23151114,32131011,32131111
1QI5J32M7FCG,32161416,21131110,23171541,27121210,32151014
0GM62S60YUP1,19101010,32161416,16141210,32131011,32101010
YGYNKIV90H7J,19111011,23151111,23151114,23151116,19101010
