ID,NAME,SUBCATEGORY_NAME,CATEGORY_NAME,TYPE,IS_SOFTWARE,IS_LANGUAGE,DESCRIPTION
BGS10F94E4049444B523,Bill Of Materials,General Shipping and Receiving,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,False,"A Bill of Materials (BOM) is a document that lists all of the raw materials, parts, sub-assemblies, and components required to build a finished product. It is commonly used in manufacturing and production industries to help manage inventory and ensure that all necessary parts are available for production. Creating an accurate BOM requires specialized skills such as product knowledge, technical expertise, and attention to detail. It is an essential component in maintaining the quality and efficiency of production processes."
BGS11665AC6BD06C5EBD,Payroll Reporting,Payroll,Human Resources,Specialized Skill,False,False,"Payroll Reporting is the ability to generate accurate and comprehensive reports related to payroll data and financial information within an organization. This skill involves extracting, organizing, and presenting payroll information in a structured format, providing insights into salary distributions, tax withholdings, and other financial aspects. Professionals with this skill contribute to financial transparency, regulatory compliance, and informed decision-making by stakeholders within the organization."
BGS151B15C7FBF8F986A,Wire And Cable Pulling,Electrical Construction,Architecture and Construction,Specialized Skill,False,False,"Wire And Cable Pulling refers to the process of installing electrical wires and cables through conduits, walls, or other pathways. This skill involves techniques for safely and efficiently maneuvering and securing wires to ensure proper connectivity and functionality. Knowledge of Wire And Cable Pulling is utilized in various applications, including electrical installations, telecommunications, and data networking, to facilitate the distribution of power and communication signals. Proper execution of this skill contributes to the overall integrity and performance of electrical systems."
BGS1538C874DBDC17646,Invoice Matching,Billing and Invoicing,Finance,Specialized Skill,False,False,"Invoice matching is a specialized process that involves comparing invoices with purchase orders and goods received notes to ensure that the goods or services invoiced have been received and accepted before payment is made. It requires attention to detail, organization, and familiarity with accounting systems and company procedures. Invoice matching is an important control mechanism to prevent errors and discrepancies in financial records."
BGS15794B20F436FC6A7,Construction Monitoring,Construction Management,Architecture and Construction,Specialized Skill,False,False,"Construction monitoring is the process of reviewing and inspecting the construction of a project to ensure that it is in compliance with plans, specifications, and regulations. It requires specialized knowledge and skills, including technical expertise, communication skills, and the ability to identify potential issues and risks. The purpose of construction monitoring is to ensure that the project is completed on time, within budget, and to the required quality standards, while minimizing risks and ensuring the safety of workers and the public."
BGS161A71C344EB2E8DA,Billing Inquiries,Customer Service,Customer and Client Support,Specialized Skill,False,False,"Billing Inquiries refer to the process of seeking clarification or information regarding charges, payments, and account statements related to billing. This skill involves understanding billing statements, identifying discrepancies, and communicating effectively with billing departments to resolve issues. Knowledge of Billing Inquiries is used to ensure accurate billing practices, facilitate timely payments, and enhance customer satisfaction by addressing concerns related to financial transactions."
BGS1623D898807BA8991,Lighting Systems,Electrical Construction,Architecture and Construction,Specialized Skill,False,False,"Lighting Systems refer to the arrangement and control of artificial light sources to enhance visibility and create desired atmospheres in various environments. This skill encompasses the design, installation, and maintenance of lighting fixtures, controls, and associated technologies. Knowledge of Lighting Systems is used to optimize illumination for safety, functionality, and aesthetic appeal in settings such as residential, commercial, and industrial spaces. Effective management of Lighting Systems contributes to energy efficiency and the overall user experience."
BGS166A638195D1E2BAE,Account Strategy,Account Management,Sales,Specialized Skill,False,False,"Account strategy is the process of developing a plan and guiding the growth of a business's accounts. It involves market research and analysis, competitor tracking, and the creation of tailored account plans to meet specific customer needs. Effective account strategy can help unlock new business opportunities, increase customer satisfaction, and strengthen overall business performance. It requires a deep understanding of the target market and the ability to align the goals of the business with those of its customers."
BGS16C952D775A16E650,Client Needs Assessment,Client Support,Customer and Client Support,Specialized Skill,False,False,"Client Needs Assessment is the process of gathering and analyzing information about a client's needs, preferences, and goals in order to provide them with the best possible service or product. It involves asking thorough questions and listening carefully to the client's responses in order to understand their unique situation and tailor solutions accordingly. This process requires specialized skills such as active listening, empathy, problem-solving, and critical thinking to ensure that client needs are accurately identified and addressed."
BGS1737E89A3E6B7A57C,Training Records Management,Employee Training,Human Resources,Specialized Skill,False,False,"Training Records Management refers to the systematic process of organizing, maintaining, and tracking training documentation and records. This skill encompasses the collection and storage of training data, ensuring compliance with regulatory requirements, and facilitating easy access to training history for individuals and organizations. Knowledge of Training Records Management is used to support workforce development, monitor training effectiveness, and enhance overall organizational performance by providing accurate records for audits and assessments."
BGS17965D11BE6626144,Market Dynamics,Market Analysis,Marketing and Public Relations,Specialized Skill,False,False,"Market Dynamics refers to the forces that impact the behavior of buyers and sellers in a market, including supply and demand, competition, and consumer preferences. This skill encompasses the analysis of market trends, pricing strategies, and economic indicators that influence market conditions. Understanding Market Dynamics enables informed decision-making regarding product development, marketing strategies, and resource allocation to effectively respond to changing market conditions."
BGS18A642702DFA6F745,Event Marketing,Promotions and Campaigns,Marketing and Public Relations,Specialized Skill,False,False,"Event Marketing is a strategic skill that involves the planning and execution of promotional activities for an event. It focuses on creating awareness and generating interest to attract attendees. This skill is used to effectively communicate the value of an event, engage potential attendees, and ultimately drive event success."
BGS1ADAA36DB65721AA3,Report Writing,Writing and Editing,Media and Communications,Common Skill,False,False,"Report writing refers to the process of creating a document that provides information about a particular topic or issue. It is a common skill that involves structuring and presenting information in a clear and organized manner. Reports are often used in business, academic, and government settings to communicate important findings and recommendations. Effective report writing involves conducting research, organizing data, analyzing and interpreting results, and presenting information in a logical and concise manner. It is important to tailor reports to the intended audience and to use appropriate language and formatting. Overall, report writing is essential for conveying complex information, making informed decisions, and achieving professional goals."
BGS1B34146CFE8069125,Retail Channels,Retail Sales,Sales,Specialized Skill,False,False,"Retail Channels refer to the various platforms and methods through which products and services are sold to consumers. This skill encompasses the understanding of different retail formats, such as brick-and-mortar stores, e-commerce, and mobile applications, enabling effective distribution strategies. Knowledge of Retail Channels is used to analyze consumer behavior, optimize inventory management, and enhance customer experience across multiple touchpoints."
BGS1B98CCAECAED05A0D,Bloodborne Pathogens,Hematology,Health Care,Specialized Skill,False,False,"Bloodborne Pathogens is the knowledge and ability to protect oneself and others from potentially infectious materials that may be present in blood and other bodily fluids. This specialized skill involves being aware of the risks associated with exposure to bloodborne pathogens, knowing how to properly handle and dispose of contaminated materials, and understanding the procedures for preventing the spread of infections."
BGS1C517ABF56C47E7BE,Call Center Technology,Customer Service,Customer and Client Support,Specialized Skill,False,False,"Call Center Technology refers to the systems and tools used to manage customer interactions and support services within a call center environment. This skill encompasses knowledge of software applications, telephony systems, and data analytics that facilitate efficient communication, call routing, and customer relationship management. Understanding Call Center Technology is utilized to enhance operational efficiency, improve customer satisfaction, and analyze performance metrics for continuous improvement."
BGS1E1B7E03C22EE6F65,Semiconductors,Basic Electrical Systems,"Maintenance, Repair, and Facility Services",Specialized Skill,False,False,"Semiconductors are materials that have the ability to conduct electricity under certain conditions, which makes them essential components in electronic devices. The process of designing and manufacturing these materials requires specialized knowledge and expertise in areas such as physics, chemistry, and engineering. Semiconductors are used in a wide range of applications, including computers, smartphones, televisions, and solar cells. The growing demand for these complex materials has led to a rapidly evolving industry and an ongoing need for individuals with specialized skills in this field."
BGS1E1E5481D0EDB3769,Technical Records,Document Management,Administration,Specialized Skill,False,False,"Technical Records refer to the systematic documentation and management of technical information related to products, processes, or systems. This skill encompasses the organization, storage, and retrieval of data, ensuring accuracy and compliance with relevant standards and regulations. Knowledge of Technical Records is used to maintain comprehensive records that support quality assurance, facilitate audits, and enhance operational efficiency by providing reliable information for decision-making and analysis."
BGS1E4A87797AB89913D,Customer Experience Improvement,Customer Service,Customer and Client Support,Specialized Skill,False,False,"Customer experience improvement is the process of enhancing the overall experience that customers have with a brand or company. It involves identifying customer pain points, determining their needs and preferences, and taking steps to make their interactions with the company more seamless, efficient, and satisfying. CX improvement requires specialized skills such as data analysis, communication, creativity, empathy, and problem-solving. It is a critical aspect of business strategy, as providing a great customer experience can lead to increased customer loyalty, retention, and revenue growth."
BGS1FB0D49190FE0E526,Cash Disbursement,Accounts Payable and Receivable,Finance,Specialized Skill,False,False,"Cash disbursement is the process of paying money to suppliers, employees, creditors or other parties on behalf of a company. It involves various tasks such as reviewing invoices, authorizing payments, preparing checks or electronic transfers, reconciling accounts and maintaining accurate records. Effective cash disbursement requires specialized skills in financial management, accounting, banking, and technology. A company that can efficiently manage its cash disbursement processes can improve its cash flow, reduce fraud and errors, and strengthen its relationships with stakeholders."
BGS1FCE2AB7FEAB78B2D,Social Media Strategy,Social Media,Marketing and Public Relations,Specialized Skill,False,False,"Social Media Strategy refers to the ability to design and implement marketing campaigns on various online platforms to meet specific business goals. This skill involves understanding the dynamics of different social media channels, creating engaging content, and analyzing the performance of these campaigns to optimize results. It is crucial for enhancing brand visibility, driving user engagement, and ultimately achieving business objectives."
BGS20FBC5D71F4590933,Attribution Modeling,Marketing Strategy and Techniques,Marketing and Public Relations,Specialized Skill,False,False,"Attribution Modeling refers to the process of assigning credit to various marketing channels and touchpoints that contribute to a consumer's decision to make a purchase or engage with a brand. This skill involves analyzing data from multiple sources to understand the effectiveness of different marketing strategies and their impact on customer behavior. Knowledge of Attribution Modeling is used to optimize marketing budgets, improve campaign performance, and enhance customer journey insights by identifying which channels drive the most value."
BGS21E6F1AA864072D74,Independent Thinking,Critical Thinking and Problem Solving,Physical and Inherent Abilities,Common Skill,False,False,"Independent thinking is a skill that involves a person's ability to analyze and evaluate information objectively, think critically and logically, and arrive at conclusions based on sound reasoning rather than blindly following the opinions or beliefs of others. It is an essential skill that allows individuals to make their own decisions, solve problems, and take responsibility for their actions. Developing independent thinking skills can be valuable in every aspect of life, from education to career, relationships, and personal growth."
BGS25C310251AE22BB97,Inventory Planning,Inventory and Warehousing,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,False,"Inventory Planning refers to the process of managing and controlling inventory levels to meet customer demand while minimizing costs. This skill involves analyzing sales forecasts, lead times, and stock levels to determine optimal inventory quantities and reorder points. Knowledge of Inventory Planning is used to ensure that products are available when needed, reduce excess stock, and improve overall supply chain efficiency. Effective Inventory Planning contributes to better resource allocation and enhances operational performance."
BGS29E3C902E1ECF21C3,Project Design,Project Management,Business,Common Skill,False,False,"Project design is the process of planning and organizing a project, including defining its objectives, identifying the resources needed, developing a timeline, assessing potential risks and opportunities, and establishing a budget. It is a common skill that is useful in many different fields, including business, education, healthcare, construction, and technology. Effective project design requires careful consideration of both the internal and external factors that may influence its success, as well as a willingness to adapt and adjust plans as needed to ensure that goals are met."
BGS2B00C35FF71F8880A,Computational Tools,General Science and Research,Science and Research,Specialized Skill,False,False,"Computational tools are specialized software programs or applications that use algorithms and mathematical models to solve complex problems. Proficiency in these tools requires specialized skills and expertise in coding, data analysis, and mathematical modeling. These skills are important in fields such as engineering, science, finance, and healthcare, where complex data analysis and modeling are often necessary."
BGS2B5070B09778B1443,Inside Sales,Specialized Sales,Sales,Specialized Skill,False,False,"Inside sales requires a specialized set of skills that involves effectively selling products or services over the phone or through other digital channels. This involves building rapport with prospects, identifying their needs and pain points, and communicating the value of the product or service in question. Additionally, successful inside sales professionals must have a deep understanding of the industry they are selling in, possess strong communication skills, and be able to work efficiently in a fast-paced environment."
BGS2CFB11CDE98351A51,Materials Planning,Supply Chain Management,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,False,"Materials Planning refers to the process of determining the necessary materials and resources required for production and operations within an organization. This skill involves analyzing demand forecasts, inventory levels, and production schedules to ensure that materials are available when needed, thereby minimizing delays and excess costs. Knowledge of Materials Planning is used to optimize supply chain efficiency, manage inventory effectively, and support production goals by aligning material availability with operational requirements."
BGS2DB509D897F31BB94,Clinical Documentation,Health Information Management and Medical Records,Health Care,Specialized Skill,False,False,"Clinical Documentation refers to the systematic recording of patient information, treatment plans, and clinical observations within healthcare settings. This skill encompasses the accurate and thorough documentation of patient encounters, ensuring compliance with legal, regulatory, and accreditation standards. Knowledge of Clinical Documentation is used to enhance patient care, facilitate communication among healthcare providers, and support billing and reimbursement processes by providing a clear and comprehensive account of patient interactions and outcomes."
BGS2E1275F3C96CC1BA8,Office Supply Management,Office Management,Administration,Specialized Skill,False,False,"Office Supply Management is the process of procuring, organizing, and maintaining office supplies needed for the smooth and efficient operation of an organization. It involves a specialized skill set that requires knowledge of inventory management, vendor relations, budgeting, and the ability to forecast supply needs. Effective office supply management ensures that employees have the necessary tools to perform their jobs, reduces waste and costs, and maintains an organized and professional workplace."
BGS2EBE8AB8957186FB4,Construction Inspection,Construction Inspection,Architecture and Construction,Specialized Skill,False,False,"Construction Inspection refers to the process of evaluating construction projects to ensure compliance with building codes, safety regulations, and design specifications. This skill involves assessing materials, workmanship, and overall project quality at various stages of construction. Knowledge of Construction Inspection is used to identify potential issues, ensure adherence to standards, and facilitate timely corrections, ultimately contributing to the successful completion of construction projects."
BGS2F4A7E318485C9F01,Executive Presence,Initiative and Leadership,Physical and Inherent Abilities,Common Skill,False,False,"Executive presence refers to the ability of professionals to exude confidence, command respect and communicate effectively in the workplace. It involves a combination of traits, such as strong communication skills, confidence, gravitas, poise, and charisma. Developing executive presence helps individuals gain credibility, build strong relationships, and effectively lead teams to achieve common goals. It is a common skill that can be learned and developed through practice, feedback, and self-awareness."
BGS308C5B01C1FD01632,Sprout Social,Social Media,Marketing and Public Relations,Specialized Skill,True,False,"Sprout Social is a social media management software that enables businesses to efficiently manage their social media accounts and engaging with their followers in real-time. The software provides features such as social media scheduling, content publishing, analytics and reporting, social listening and monitoring, and customer engagement tools. Sprout Social is designed to help businesses improve their social media strategy, reach a wider audience, and ultimately increase their ROI."
BGS30DF8D99417B93488,Site Inspection,Construction Inspection,Architecture and Construction,Specialized Skill,False,False,"Site inspection is the process of evaluating a property or construction site to ensure that it meets safety, regulatory, and other requirements. It involves specialized skills and knowledge in areas such as construction materials, building codes, safety regulations, and environmental concerns. The purpose of a site inspection is to identify potential hazards, assess current conditions, and make recommendations for improvements or modifications. Site inspection is an important aspect of risk management and can help prevent accidents, injuries, and property damage."
BGS33C91FD776084E25E,Hand Tools,Hand Tools,"Maintenance, Repair, and Facility Services",Specialized Skill,False,False,"Hand tools refer to tools used for manual labor or work that requires physical effort. Mastering the use of hand tools requires specialized skills acquired through experience, practice, and training. These skills are important in professions such as carpentry, construction, and mechanics, where precision and accuracy are essential for quality work. The proper use of hand tools can also prevent injuries and accidents in the workplace."
BGS33CFDF87E0C52A6EF,Year-End Accounting,Financial Accounting,Finance,Specialized Skill,False,False,"Year-End Accounting refers to the process of closing financial records at the end of a fiscal year to prepare for financial reporting and tax obligations. This skill encompasses the reconciliation of accounts, adjustment of entries, and preparation of financial statements, ensuring accuracy and compliance with accounting standards. Knowledge of Year-End Accounting is used to analyze financial performance, assess tax liabilities, and provide stakeholders with a clear view of the organization's financial position."
BGS379BF24E36A451225,High Potential Identification,Human Resources Management and Planning,Human Resources,Specialized Skill,False,False,"High Potential Identification refers to the process of recognizing individuals who possess the capability to achieve significant success and advancement within an organization. This skill involves assessing various attributes such as leadership potential, cognitive abilities, and performance metrics to determine candidates who can take on greater responsibilities. High Potential Identification is used to inform talent management strategies, succession planning, and development programs aimed at nurturing future leaders and maximizing organizational effectiveness."
BGS3865AE8153716B4EB,Liquidity Management,Cash Management,Finance,Specialized Skill,False,False,"Liquidity Management refers to the process of ensuring that an organization has sufficient cash flow to meet its short-term obligations while optimizing the use of its financial resources. This skill involves analyzing cash flow patterns, forecasting future liquidity needs, and implementing strategies to maintain adequate liquidity levels. Knowledge of Liquidity Management is used to mitigate financial risks, enhance operational efficiency, and support strategic decision-making by balancing cash inflows and outflows effectively."
BGS392411BB432B57395,Sales Territory Management,Sales Management,Sales,Specialized Skill,False,False,"Sales Territory Management refers to the strategic allocation and organization of sales resources within specific geographic or market segments to optimize sales performance. This skill involves analyzing market potential, defining territory boundaries, and assigning sales representatives to ensure effective coverage and customer engagement. Knowledge of Sales Territory Management is used to enhance sales efficiency, improve customer relationships, and drive revenue growth by aligning sales efforts with market opportunities."
BGS3A9918446203012B2,Design Software,Graphic and Visual Design Software,Design,Specialized Skill,True,False,"Design software refers to computer programs used by designers, artists, and other creatives to create digital products such as graphics, animation, logos, website layouts, and more. This skill involves proficiency with applications like Adobe Creative Suite, Sketch, InVision, Figma, and other popular design applications. Design software proficiency is critical to creating visually compelling materials that can attract and engage audiences."
