ID,skill_1,skill_2,skill_3,skill_4,skill_5,occ_1,occ_2,occ_3,occ_4,occ_5
5IZ31YRUJOQW,KS124986R0H6NGX3SQP3,KS7G747655VG23WXMS9B,KS122VT6S2JJ5C5D80NF,KS1218W78FGVPVP2KXPX,KS441LY691MT0N689MWR,23131115,17141810,23131110,23131116,17111410
81N0GJOF9USK,KS125TB6YR6236RKM563,KS120VB76P5WB69FVNRT,KS1224W5XSXCJBNSLLVX,KS122C06Z8NDM5G6NYNT,ESE8E6C89348587B4CCC,23171710,27111320,27111318,23171521,23171524
WZ940VTKRRVW,BGSE476BBD58CB30AD6D,ES5F80D4A3BDF9BB9069,KS1218B5WWXNDNQTN9MP,KS1223966G4Q22CCCYC6,KS1246V69FLYLLNXWSFT,19111012,36161117,19111011,36161112,36161120
DB2UUIJNWPAY,KS12403769SV21756FDY,BGSE06CE24B89ABF0441,KS121DY6DT8LNYJL7FZ1,KS1287R64YNBZGR50Y1N,KS1217R6SMDJ0WQHN6LK,25111610,25111110,23171528,25111310,23171710
AYXAR6YO6Z1T,KS1261X77TRV7K8RYLL8,ES9262EB46A460722CB4,KS1217R6SMDJ0WQHN6LK,KS440PX70147DD63BTWM,ESEB1D4619E6E83A061D,18191516,18191515,18191517,13141111,13141012
OT8HLJEFY3ZB,KS127CS79GV081FMJYKZ,KS122NY60HCYYDXHQGQN,KS120WT63K4HC6NX7QXV,KS122NR6NY1KB0TD40G4,ES3C8650B6A0820DAFF4,19161111,19121011,19161012,19121711,11191413
VTH4OQSRLDHH,KS1219570C4LCP9ND4FH,KS1237Q641KJ70G6JZ8C,KS440Z1754M82K9VYJFV,KS1217R6SMDJ0WQHN6LK,KS441K2756CXYXBG990G,21161310,21161211,20341221,20311910,21161210
UMH9NKLYBWGM,ES6204EEE269AF03D4C4,ES4E3148857AA502599E,KS441K2756CXYXBG990G,KS126CM78T30RTP4PBYM,KS7G09N768FLPTYZWXWV,15111013,23161012,32121312,23161015,23161016
2YF7QTZ1RUY5,KS681V963XLFV9712PMG,ESA4E1398D144871DB68,KSQPGV2XZO8UMNCC49LK,KS127W26ZXHHV5G8M4HQ,KS120HK5XY6JV257QLTX,32161313,32161010,32121010,32161416,32121312
L8QQZYEKV2DY,KS121056X529461ZF6XW,KS1258B6FBG9B2CQ169N,KS1218W78FGVPVP2KXPX,KS7G2F36GFX1K55V6GK4,ESA6EF2FD3872374BF62,18121012,18191318,18191517,19101314,18151214
POYIPK0QTL3Q,KS122MN6JY31023FXWNB,KS124216XT0CJXQQND1F,KS128227056JR6YW8TKZ,KS1259D6L30YYG3XR3VL,KS123B75Z8CKNHP05L6Y,36161117,36161120,36161124,36161112,36161110
GQQQJR6JP3ZJ,KS125KL5Z50L4J0MJ95R,KS124QR6F19BX4WPMW1H,KSQPGV2XZO8UMNCC49LK,KS125BH5X5W0R09ZW3B7,ESC5567F7A6FA12D0DCD,19111011,19111010,19111012,19101010,19101016
DABBAJAQ08DN,KS122QS605532V3N3VR6,KS120SR6WD1FP76Z6GC2,KSCH2TPBQX91532Y3Q8E,KS121YT721BY2F3M5YDR,ES70CD6E89F6DAD8F319,15111013,32151014,23121010,23121220,32161416
V4HU270A0WEM,KS124R469YBN5SX8XNMH,KS1218W78FGVPVP2KXPX,KS1280B68GD79P4WMVYW,ES8B8C52EA70D3BD184E,KS122556LMQ829GZCCRV,22101214,22111215,22101210,22101213,22111216
